company_name,job_title,salary,salary_type,work_location,emp_type,seniority,job_cat,job_details
APBA PTE. LTD.,*Immediate Positions* Temp Administrative Assistants - up to $10.50 / hr,"$1,500to$2,000",Monthly,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623","Temporary, Contract","Fresh/entry level, Non-executive, Junior Executive",Admin / Secretarial,"Roles & ResponsibilitiesWork Location: Novena Working Hours: Monday to Friday 8.30m – 6pm Working Period: Immediate (3 – 6 Months) Hourly Pay: $8.50 - $10.50 an hour (depending on academic qualification & prior work experience)   Responsibilities  Process applications and survey responses To assist in data entry Perform ad-hoc assignments and administrative duties such as photocopying and filing Provide support to managers in administering projects Requirements Minimum GCE ‘A’ Level / Diploma / Degree Proficient in English Able to work independently and an excellent team player who is task-orientated Possess initiative and positive attitude Proficient in Microsoft Office and has Good Excel Skills Must be able to commit for at least 3 Months and above  Interested candidates, please forward a copy of your resume with a recent photo in word doc format to:   vivien.khaw@apba-network.com   We regret to inform that only shortlisted candidates will be notified "
FORTE EMPLOYMENT SERVICES PTE. LTD.,Admin Assistant,"$1,800to$2,000",Monthly,"CT HUB, 2 KALLANG AVENUE 339407",Permanent,Fresh/entry level,Admin / Secretarial,"Roles & ResponsibilitiesWorking hours: Monday to Friday (8.30am to 5.30pm) Location: Tuas Salary: Up $2000   Responsibilities:    Genera administrative duties (Filing & data entry) Handling HR administrative work Any other adhoc duties assigned RequirementsRequirements:    Diploma in any field 0-1 year of working experiences in administration    Interested candidate please forward your resume to Leow Pei Qi (Josephine) (Reg: R1440776) Josephine@forteemp.com.sg or call + (65) 6565 9877 for further discussion.    To apply directly for this position, click here!   Thank you and wishing you all the best in your job search."
PERI ASIA PTE. LTD.,SENIOR EXECUTIVE (CONTRACTS & CREDIT CONTROL),"$3,500to$4,500",Monthly,"ONE SIMS LANE, 1 SIMS LANE 387355","Permanent, Full Time",Senior Executive,Building and Construction,"Roles & ResponsibilitiesReporting to the Chief Financial Officer (CFO), key deliverables include: Credit Risk Management  Oversee implementation of credit policy to minimize bad debts while helping the company maximize profitable sales Ensure the credit risk assessment and credit investigations of existing and potential customers Review credit notes and discount to customers  Collection Management  Monitor monthly balances of customers and issue statement of accounts Maintain information flow with Sales and Operation Team regarding customer accounts Deal with customers to provide clarifications and details related on invoicing and balance status Ensure timely clarification of disputed receivables Track the course of aging accounts and payment received including determine actions to be taken Track DSO and identify actions to improve it Carry out dunning process including preparation of reminder letters according to company's policy Maintain log book of dunning process Set the agenda and chair monthly A/R meetings with Sales Team Propose payment plans for customers in financial difficulties to be reviewed and approved by Management Team Proposed actions for external recovery of debts to be reviewed and approved by Management Team Collection of deposits and advance payments Ensure customer master data is up-to-date Maintain correspondence with customer and other documentation  Tenders, Contracts and Project Management  Reviewing of Tenders & Contracts Assist company in highlighting critical requirements and any deviation in compliance with terms & conditions during tendering and contracting. Assist in administration of projects Perform other duties as assigned Requirements Min. Degree in Business Administration or equivalent professional qualification Min 2-3 years of experiece in Credit Control and in handling of Contractual Terms and Conditions and Commercial Contract Law in Construction Industry   Good communication skills especially in conducting chasers (via phone calls) to client Strong proficiency in MS Office applications Positive attitude and result orientated   Good analytical and organizational skills with attention to details Knowledge in SAP will be an added advantage "
GLOBALSIGN.IN PTE. LTD.,"Application Support Engineer (HTML, JS, CSS)","$3,500to$5,000",Monthly,"PLATINUM 28, 28 GENTING LANE 349585",Full Time,Professional,Information Technology,"Roles & ResponsibilitiesGEVME is a culmination of nearly 10 years of experience in helping Event Organisers with their technology needs. Focusing on event data management as the core, we power the end-to-end management of events through our various software capabilities, ranging from email marketing, online registration and ticketing, to on-site check-in. GEVME is already powering events such as Fintech Festival Singapore, IE Singapore Events, Forbes Global CEO Conference , Starbucks Coffee Singapore, Singapore International Water Week and World Cities Summit to name a few.    We are on the lookout for interns for the positions of Application Support Engineer. With the following responsibilities & requirements: Responsibilities   Support Project Team with ongoing customer deliverables including ad hoc reporting, ongoing delivery or support needs, and any custom requirements   Internal point of contact for Customer Support Team to the Product Team   Clearly communicate and keep track of support tickets and status    Escalate to Product Team in the early stage for course correction   Track to resolution any software defects and known issues, with product and engineering teams in order to keep Customer Success team updated   Champion for process improvement and how best to instill customer support best practices within the organization   Establish great relationships with internal stakeholders (Project, Product, Sales etc.) to achieve client goals   Partner with Customer Support Manager/Specialist to develop support process for customer to engage with to achieve ongoing operational support   Work closely with the product development team in ensuring that the product and its features are meeting customers expectation and satisfaction   Remain positive in challenging scenarios and inspire internal partners to do great work     RequirementsRequirements   Tech-savvy and familiarity with cloud-based and SaaS products   Web design & development, HTML5, CSS, JavaScript, PHP/.NET/Drupal (or similar CMS). MySQL, MSSQL, API Development, JSON, XML is a plus   Diplomacy, tact, and poise under pressure when working through customer issues   Self-motivated and enjoys working in a fast-paced and results-driven environment   Passion for solving problems and supporting customer data analytics needs  "
CAPITA PTE. LTD.,Desktop Engineer,"$2,400to$3,500",Monthly,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Full Time,"Executive, Junior Executive",Information Technology,"Roles & Responsibilities Install, upgrade, support and troubleshoot Windows 7 and Windows 8.1 and Microsoft Office Dealing with hardware and application support queries and issues reported to the support desk and escalated to the Desktop Support Engineers Provide user data and application recovery  Use diagnostic tools to troubleshoot problems associated with network connectivity, and workstation hardware/software Use tools and methodologies to load, copy and customize operating system configurations for deployment Responsible for tracking hardware and software inventory Familiarize end users on basic software, hardware and peripheral device operation Take ownership and responsibility of queries, issues and problems assigned to the Desktop Support Engineers Works with vendor support contacts to resolve technical issues within the desktop environment Escalate issues and involve experts wherever required in order to resolve issues as quickly as possible and any other authorised desktop applications  & Microsoft or related security patches/Policies Performs general preventative maintenance tasks on computers, laptops, printers and any other authorised peripheral equipment Performs remedial repairs on computers, laptops, printers and any other authorised peripheral equipment . Mobile device Support experience Requirements At least Diploma of Information Technology or relevant certification  Min 2 years experienced in desktop engineer  Experience provide IT solutions for end user environment Knowledge in Windows Xp to Windows 7 , Lotus Notes to Outlook etc Good experience in computers, servers, printers and network components in the office network etc     Interested candidates, who wish to apply for the above position; please send in your resume to reina@capitasingapore.com and attention to RNS   Only shortlisted applicants will be notified by our consultants.     Capita Pte Ltd | EA license no.: 08C2893 Sia Shin Yong | REG No : R1547214  "
APBA PTE. LTD.,Temp Admin  /  Customer Service  /  /  up to $11.50 / hr,"$1,500to$2,000",Monthly,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623","Temporary, Contract","Fresh/entry level, Non-executive, Junior Executive","Admin / Secretarial, Customer Service","Roles & Responsibilities Working Location: Tanjong Pagar / Bishan / Tampines / Jurong / Woodlands / Novena   Hourly Rate: $8.50 - $11.50 Per Hour (depending on prior work experience and academic qualification) Work Duration: 2 – 6 Months   Responsibilities  Provide Personalised Service to manage enquiries on schemes and services over at the counter. Process applications and Collate survey responses Perform basic administrative duties such as data entry and filing Perform ad-hoc duties as directed by immediate superior Requirements GCE ‘A’ Level / Diploma / Degree Proficient in English and a second language so as to converse effectively with different groups of customers Excellent team player who is task-orientated Shows initiative and possess a positive attitude Possess Good Customer Service Skills Proficient in Microsoft Office Words and Excel  Interested candidates, please forward a copy of your resume with a recent photo in word doc format to:   Vivien.khaw@apba-network.com   We regret to inform that only shortlisted candidates will be notified "
NATIONAL UNIVERSITY OF SINGAPORE,Research Fellow,"$4,000to$6,000",Monthly,21 LOWER KENT RIDGE ROAD 119077,Contract,Professional,"Building and Construction, Engineering, Sciences / Laboratory / R&D","Roles & ResponsibilitiesA full-time Research Fellow position is available in handling research and administrative duties to the principal investigator in Virtual Singapore project. Major duties and responsibilities:  To undertake research and evaluate outcomes based on the research objectives and plans. Plan, coordinate and implement research programmes in accordance with university strategy, policy and procedures and funder requirements Performing data analytics. Writing or contributing to publications or disseminating research findings using media appropriate to the discipline. Make presentations at conferences or exhibit work at other appropriate events. Assess, interpret and evaluate outcomes of research. Develop new concepts and ideas to extend intellectual understanding. Resolve problems of meeting research objectives and deadlines. Lead or guide the work of research assistants and student helpers. Mentor colleagues with less experience and advise on professional development. Coach and support colleagues in developing their research techniques. Supervise the work of others, for example in research teams or projects. Attend project meetings. Attend area seminars and other meetings as necessary. Prepare progress reports. Prepare other articles, reports and presentations. Participate in administrative work and tasks.  Kindly send the CV to Prof Wong Nyuk Hien (bdgmarc@nus.edu.sg).RequirementsThe applicant would preferably be a qualified PhD degree from a relevant field, particularly urban climate, urban 3D modelling (CityGML), and simulation (climate and energy). Experience, expertise, and knowledge in urban heat island, climate change, energy modelling, and performance analytics are essential. Basic skills in 3D modelling or parametric (SketchUp, Rhino, Grasshopper, etc), statistical software (SPSS, Matlab), and programming/coding (Python) would be an added advantage. Familiarity with Microsoft Office Applications (MS Word, Excel, and Power point), Building Information Modelling (BIM) and Geographic Information System (GIS) would be useful. The successful candidate will be engaged in Virtual Singapore (VSg) Phase II project, in which related with macro and microclimate analysis in both urban and building scale."
LINKEDIN SINGAPORE PTE. LTD.,Campaign Manager,"$60,480to$90,720",Annually,"SOUTH BEACH TOWER, 38 BEACH ROAD 189767","Permanent, Full Time",Junior Executive,Marketing / Public Relations ,"Roles & ResponsibilitiesLinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology. Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works. LinkedIn Talent Solutions is searching for a Media Solutions Manager to manage relationships with our Talent Solutions clients, including executing against client objectives and serving as a trusted advisor and consultant. You will leverage your knowledge of online media to provide consultative solutions that help shape and grow our client’s business. You will possess the influencing skills to drive forward our client’s recruitment experience, and provide best-in-class client service, research and market analysis. You will analyse ROI data to build a case for renewal and up-sell opportunity with ongoing campaign strategy consultation. You will be responsible for identifying areas where LinkedIn can provide more value to our clients and ensure optimum utilization of our media solutions, to further their long-term recruitment goals. Responsibilities:  Build strong relationships with clients by providing best-in-class customer experience identifying opportunities to improve campaign performance Partner with sales support teams across Insights and Customer Success to troubleshoot campaigns and ensure error free execution Own all aspects of the talent brand campaign to ensure client objectives are met, from making recommendations on target audiences to proving ROI through campaign insights Advise on media creative and content quality and development, leveraging recruitment media expertise to maximize performance and delivery Support customer communication and education including a best-in-class onboarding experience and ad hoc education needs Collaborate with product teams to improve service offerings and campaign management tools and ensure our customer needs are met Troubleshoot client issues that arise from using self-serve products in order to resolve basic implementation errors Drive early and full activation of clients’ media solution to ensure complete utilization RequirementsBasic Qualifications:  BA/BS degree or equivalent practical experience 3+ years of client-facing experience in advertising sales, marketing, consulting, or media   Preferred Qualifications:  1+ years of auction based or programmatic campaign management and optimization experience (i.e. Google Adwords, SEO/PPC, ad exchange/trading desks) Experience in advertising sales and media account management Demonstrated analytical background and experience with statistical analysis, return on investment modelling and advertising/media analytics Ability to think strategically with a proven track record of providing consultative and data driven solutions Demonstrated understanding of internet advertising technology and marketing automation Ability to effectively manage time, prioritize tasks and work within deadlines with little supervision Excellent communication, organizational, presentation and client-service skills Ability to effectively manage time, prioritize tasks and work within deadlines with little supervision Ability to work effectively with clients and cross-functional teams "
VEOLIA ES SINGAPORE INDUSTRIAL PTE. LTD.,Public Relations Officer,Salary undisclosed,,17 TUAS AVENUE 12 639037,Temporary,Fresh/entry level,Environment / Health  ,"Roles & ResponsibilitiesAs part of our Team, you will actively bridge the gap between stakeholder expectations and operations performance. In your role, you will mainly:  Perform customer engagement surveys at Public Estate Consolidate data from customer engagement surveys Attend to feedbacks from the public Other Ad-hoc duties as and when assigned Requirements 6 months contract Minimum NiTEC/Higher NiTEC required No experience required Good interpersonal and communication skills Proficient in Microsoft Office applications A team player with positive mindset and pleasant personality "
UNITED PACKAGING INDUSTRIES PTE. LTD.,Quality Engineer,"$3,000to$4,000",Monthly,"WOODLANDS EAST INDUSTRIAL ESTATE, 28 SENOKO DRIVE 758214",Full Time,Senior Executive,Manufacturing,"Roles & Responsibilities Ensuring that equipment and processes follow predetermined quality standards  Investigate product quality problems, determine root cause, gather and analyze and implement corrective action Prepare reports by collecting, analyzing and summarizing data, making recommendations  Interact with manufacturing and engineering teams to optimize documentation related quality and inspection checks  Requirements Diploma or degree in Manufacturing or Quality related with at least 2 years working experience in related field With excellent written, communication, analytical, interpersonal skills  Good knowledge in computer software   "
SUEZ WATER TECHNOLOGIES & SOLUTIONS SINGAPORE PTE. LTD.,Application Engineer,"$3,600to$4,000",Monthly,"THE ALPHA, 10 SCIENCE PARK ROAD 117684",Permanent,Fresh/entry level,Engineering,"Roles & ResponsibilitiesThis role is an opportunity created within our Services Business to join as an Application Engineer into our Commercial Fulfilment & Engineering(CF&E) team. The candidate will provide and assume responsibility for proposal activities, water assessment audits, basic process designs, budgetary and final proposals within an assigned region, as well as periodic support for other Lead Commercial Engineers within the group.   This position may require some travel. Role Objective  The objective of this assignment is to provide a development opportunity for the candidate to demonstrate capability in:  Conducting water assessment audits, data collection, analysis and reporting to propose water saving projects to potential customers. Co-ordinate all Services project related ITO (Inquiry to Order) activities Successful and productive collaboration with the sales team in development of opportunities and hence drive business growth. Establishing a strong internal network to enhance successful collaboration with all internal functions that are involved in a Services project all the way from ITO to OTR (Order to Remittance)  Essential Responsibilities entails   Developing tools and reports on water and wastewater assessment studies. Timely preparation of budgetary and final proposals Generate basic process designs Coordinate Process & Instrumentation Diagrams and General Arrangement Drawings Support lead commercial engineers in costing and process design strategies to position the company in the early stages of project development and to increase probability & success Adhering to all internal procedures related to bid preparation, proposal tracking, authorization of Order Packages and sales forecasting. Support Sales teams in the continuous development and/or fine tuning of country specific business plans and market research. Requirements Bachelor's degree in mechanical, chemical, civil or environmental engineering or equivalent knowledge and experience Good knowledge is water and wastewater engineering fundamentals Expertise in Microsoft word, Excel and PowerPoint. "
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (C / C++),"$4,000to$7,000",Monthly,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935",Permanent,Professional,Information Technology,"Roles & ResponsibilitiesNextLabs® (www.nextlabs.com), a Silicon Valley technology company, is the leading provider of policy-driven information risk management (IRM) software for large enterprises, has an exciting opportunity for software engineering professionals to be part of the development effort in creating the next generation data protection and access control solutions for both on-prem customers and SaaS. Our customers include many prominent enterprises in Aerospace & Defense, Financial Services, and High-Tech Manufacturing and Engineering industries. We’re looking for highly motivated candidates who are passionate about the art and science of software development, possess a strong can-do attitude, and want to be part of a world-class team with a passion for excellence. The successful candidate must be comfortable working in a loosely structured organization and can work on a number of assignments in parallel.Requirements Explore new technologies & solutions to complex problems, create prototypes Discuss with Product Management and establish the Functional Spec and the Design Documents for NextLabs products & solutions Define, design, and develop products and related components Deliver best in class architecture, solution, and code Take the lead on enhancing the performance and scalability Guide Quality Assurance & User Assistance teams for the necessary testing and documentation Work with Customer Support to ensure solution is supportable Coordinate with other technical teams including the NextLabs China and US teams to ensure compatibility with other NextLabs components and deliver as an integrated solution.  Qualifications  Bachelor’s Degree in Computer Science or related field. Demonstrated success building high-performance applications in C/C++. Excellent object-oriented design, coding, and debugging skills. Strong background in design patterns, data structures, and test-driven development. Experience writing thread-safe code and building or using multithreaded IO systems. Self-starting and ability to learn new technologies quickly. Strong communication and problem-solving skills. Passionate, proactive, great team player.  Bonus If You Have  Experience in development and integration with enterprise applications such as, Teamcenter, Windchill, Enovia and any CAD applications. Experience with user mode internals like DDLs, Hooks, NTDLL, USER32, GDI32. Experience interfacing with SQL databases. Agile development experience with tools such as BitBucket, Jira, Jenkins etc. Knowledge of Security concepts such as SSL, TLS, Crypto, Authentication and Windows firewalls.  Interested candidates may email resume to jobs.sg@nextlabs.com.  "
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (C / C++),"$4,000to$7,000",Monthly,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935",Permanent,Professional,Information Technology,"Roles & ResponsibilitiesNextLabs® (www.nextlabs.com), a Silicon Valley technology company, is the leading provider of policy-driven information risk management (IRM) software for large enterprises, has an exciting opportunity for software engineering professionals to be part of the development effort in creating the next generation data protection and access control solutions for both on-prem customers and SaaS. Our customers include many prominent enterprises in Aerospace & Defense, Financial Services, and High-Tech Manufacturing and Engineering industries. We’re looking for highly motivated candidates who are passionate about the art and science of software development, possess a strong can-do attitude, and want to be part of a world-class team with a passion for excellence. The successful candidate must be comfortable working in a loosely structured organization and can work on a number of assignments in parallel.RequirementsResponsibilities include:  Explore new technologies & solutions to complex problems, create prototypes Discuss with Product Management and establish the Functional Spec and the Design Documents for NextLabs products & solutions Define, design, and develop products and related components Deliver best in class architecture, solution, and code Take the lead on enhancing the performance and scalability Guide Quality Assurance & User Assistance teams for the necessary testing and documentation Work with Customer Support to ensure solution is supportable Coordinate with other technical teams including the NextLabs China and US teams to ensure compatibility with other NextLabs components and deliver as an integrated solution.  Qualifications  Bachelor’s Degree in Computer Science or related field. Demonstrated success building high-performance applications in C/C++. Excellent object-oriented design, coding, and debugging skills. Strong background in design patterns, data structures, and test-driven development. Experience writing thread-safe code and building or using multithreaded IO systems. Self-starting and ability to learn new technologies quickly. Strong communication and problem-solving skills. Passionate, proactive, great team player.  Bonus If You Have  Experience in development and integration with enterprise applications such as, Teamcenter, Windchill, Enovia and any CAD applications. Experience with user mode internals like DDLs, Hooks, NTDLL, USER32, GDI32. Experience interfacing with SQL databases. Agile development experience with tools such as BitBucket, Jira, Jenkins etc. Knowledge of Security concepts such as SSL, TLS, Crypto, Authentication and Windows firewalls.  Interested candidates may email resume to jobs.sg@nextlabs.com."
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Engineering Manager – Software Development,Salary undisclosed,,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935","Permanent, Full Time",Manager,Information Technology,"Roles & ResponsibilitiesNextLabs® (www.nextlabs.com), a Silicon Valley technology company and the leading provider of policy-driven Information Risk Management (IRM) software for large enterprises, has an exciting opportunity for software engineering professionals to be part of the development effort in creating the next generation data protection and access control solutions for both on-premise customers and SaaS. Our customers include many prominent enterprises in Aerospace & Defense, Financial Services, and High-Tech Manufacturing and Engineering industries. We’re looking for highly motivated candidates who are passionate about the art and science of software development, possess a strong can-do attitude, and want to be part of a world-class team with a passion for excellence. The successful candidate must be comfortable working in a loosely structured organization, and be capable of working on a number of assignments in parallel. Responsibilities include:  Build, grow and manage a strong high performance engineering team Provide guidance and mentorship to the team on a day to day basis Set up engineering processes in line with NextLabs global engineering development methodologies and ensure that team follow through the processes Define, design, and develop products and related components in collaboration with NextLabs product management and global engineering teams Deliver best in class architecture, solution, and code Coordinate with other technical teams including the NextLabs Singapore, China and US teams to ensure compatibility with other NextLabs components and deliver as an integrated solution Steward of software engineering, software architecture, security, testing and API best practices RequirementsRequirements:  BE/BS degree in computer science or computer engineering from good university with good academic results Strong software engineering skills (8+ years) in core Java - standalone applications, scalable web applications involving extensive design and coding with at least 3 years of team management experience In-depth knowledge of software development methodologies and able to coach and guide team in delivering products and solutions Strong analytical and systems thinking to handle both the big picture and important technical details. Development & integration knowledge with Enterprise and/or Cloud applications involving full-stack technologies and cloud platforms like AWS/Azure Deep understanding of database concepts, engineering and operations Strong experience working with remote teams on collaborating towards a common goal Self-starting and ability to learn new technologies quickly Strong communication and problem-solving skills Passionate, proactive, great team player   "
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (Java),"$3,500to$6,000",Monthly,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935","Permanent, Full Time",Professional,Information Technology,"Roles & ResponsibilitiesNextLabs® (www.nextlabs.com), a Silicon Valley technology company, is the leading provider of policy-driven information risk management (IRM) software for large enterprises, has an exciting opportunity for a Software Engineer to be part of the development effort in creating the next generation data protection and entitlement manager solutions. Our customers include many prominent enterprises in Aerospace & Defense, Financial Services, and High-Tech Manufacturing and Engineering industries.  We’re looking for highly motivated candidates who are passionate about the art and science of software development, possess a strong can-do attitude, and want to be part of a world-class team with a passion for excellence. The successful candidate must be comfortable working in a loosely structured organization, and be capable of working on a number of assignments in parallel.  Responsibilities include:  Explore new technologies & solutions to complex problems, create prototypes Discuss with Product Management and establish the Functional Spec and the Design Documents for NextLabs products & solutions Define, design, and develop products and related components Deliver best in class architecture, solution, and code Take the lead on enhancing the performance and scalability Guide Quality Assurance & TechPub teams for the necessary testing and documentation Work with Customer Support to ensure solution is supportable Coordinate with other technical teams including the NextLabs China and US teams to ensure compatibility with other NextLabs components and deliver as an integrated solution. RequirementsRequirements:  BE/BS degree in computer science or computer engineering from good university with good academic results Strong software engineering skills (3+ years) in core Java - standalone applications, scalable web applications involving extensive design and coding Extensive experience in RDBMS and NoSQL databases Experience in XML, REST, SOAP, WSDL and UDDI Experience in client side UI technologies like jQuery, EmberJS, AngularJS and Backbone etc. Strong Object-oriented analysis and design skills Experience in building cloud based web applications in AWS/Azure is a plus Building applications encompassing user management, authentication, and access control; knowledge of LDAP/Active Directory/Radius is a plus Development & integration knowledge with enterprise or cloud applications, such as, Teamcenter, Windchill, Documentum, SalesForce, or DropBox etc is a plus Self-starting and ability to learn new technologies quickly Strong communication and problem-solving skills Passionate, proactive, great team player "
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (Java),"$4,000to$7,000",Monthly,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935","Permanent, Full Time",Professional,Information Technology,"Roles & ResponsibilitiesNextLabs® (www.nextlabs.com), a Silicon Valley technology company, is the leading provider of policy-driven information risk management (IRM) software for large enterprises, has an exciting opportunity for a Software Engineer to be part of the development effort in creating the next generation data protection and entitlement manager solutions. Our customers include many prominent enterprises in Aerospace & Defense, Financial Services, and High-Tech Manufacturing and Engineering industries.  We’re looking for highly motivated candidates who are passionate about the art and science of software development, possess a strong can-do attitude, and want to be part of a world-class team with a passion for excellence. The successful candidate must be comfortable working in a loosely structured organization, and be capable of working on a number of assignments in parallel.  Responsibilities include:  Explore new technologies & solutions to complex problems, create prototypes Discuss with Product Management and establish the Functional Spec and the Design Documents for NextLabs products & solutions Define, design, and develop products and related components Deliver best in class architecture, solution, and code Take the lead on enhancing the performance and scalability Guide Quality Assurance & TechPub teams for the necessary testing and documentation Work with Customer Support to ensure solution is supportable Coordinate with other technical teams including the NextLabs China and US teams to ensure compatibility with other NextLabs components and deliver as an integrated solution. RequirementsRequirements:  BE/BS degree in computer science or computer engineering from good university with good academic results Strong software engineering skills (3+ years) in core Java - standalone applications, scalable web applications involving extensive design and coding Extensive experience in RDBMS and NoSQL databases Experience in XML, REST, SOAP, WSDL and UDDI Experience in client side UI technologies like jQuery, EmberJS, AngularJS and Backbone etc. Strong Object-oriented analysis and design skills Experience in building cloud based web applications in AWS/Azure is a plus Building applications encompassing user management, authentication, and access control; knowledge of LDAP/Active Directory/Radius is a plus Development & integration knowledge with enterprise or cloud applications, such as, Teamcenter, Windchill, Documentum, SalesForce, or DropBox etc is a plus Self-starting and ability to learn new technologies quickly Strong communication and problem-solving skills Passionate, proactive, great team player "
YWL ENGINEERING PTE LTD,IT Officer,"$2,000to$4,000",Monthly,"FABER HOUSE, 230 ORCHARD ROAD 238854",Full Time,"Fresh/entry level, Professional",Information Technology,"Roles & Responsibilities Administration of Windows, Linux, NAS and network systems Hardware and software installation and license management User administration, support and problem troubleshooting Company website maintenance Data backup S/W, H/W evaluation and procurement Documentation, auditing and DR drills Requirements Computer science related diploma or degree Applicant must process the ability to quickly pick up new knowledge and skills from the internet Scripting and programming ability Good communication and multitasking skills Flexible and able to work under pressure "
INTELLECT MINDS PTE. LTD.,Senior Cloud Developer,"$6,500to$8,000",Monthly,"ANSON CENTRE, 51 ANSON ROAD 079904",Full Time,Executive,Information Technology,"Roles & ResponsibilitiesCompany Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Senior Cloud Engineer to join their esteemed organization. Job Descriptions: Mandatory Skills : Experience on AWS Services (EC2, S3, DynamoDB, CloudWatch, ECS, Lambda, API Gateway, IAM)  § Write high quality, maintainable code § Able to analyse and translate business requirements into scalable and resilient technical design. § Own parts of the application and continuously improve them in an agile environment.  § Participate in code reviews § Pair with other developers and share design philosophy and goals across the team. § Coordinate with cross functional teams (DevOps, Data, UX, Testing etc.) on planning and execution. § Able to manage fully automated build/test/deployment environments.Requirements§ Minimum 5+ experience in design and build large scale applications in any stack § Experience working on one or more front-end technologies - Web, Android or iOS § Experience working on any of the JS frameworks (React/Redux, Webpack, ES6, Angular/Vue) § In depth knowledge in NodeJS, Express, npm § Experience on AWS Services (EC2, S3, DynamoDB, CloudWatch, ECS, Lambda, API Gateway, IAM) § Data modelling experience in both Relational and NoSQL databases § Proficient in native JavaScript § Familiar with Java Spring boot / Spring Cloud is a plus § Design and implement RESTful APIs § Good understanding of OAuth 2.0 / SAML 2.0 protocols § Write unit, functional, load and end-to-end tests § Experience in designing and coding scalable Microservices § Good understanding of Microservice design philosophies (DDD, SRP, Event Sourcing, CQRS, etc) § Familiar with DevOps process and popular tool chain § A strong sense of ownership § Willingness and passion to learn new languages & technologies, solve complex problems § Able to craft engaging customer experience    All successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. Interested Candidates please submit your detailed resume online. To your success! The Recruitment Team Intellect Minds Pte Ltd (Singapore)  "
